要件ID,要件名,要件内容,優先度,関連セクション
REQ01,電子カルテ連携機能,対象患者の電子カルテシステムから、API等を通じて退院時サマリー作成に必要なデータ（患者基本情報、病名、検査結果、治療経過等）を安全に取得する機能,高,5.1
REQ02,退院時サマリー自動生成機能,取得した電子カルテ情報を基に、所定のテンプレートに従って退院時サマリーのドラフトを自然言語生成技術を用いて自動で作成する機能,高,5.1
REQ03,編集・修正機能,自動生成されたサマリーの内容を、医師が画面上で確認し、自由にテキストの追記、修正、削除を行えるWYSIWYGエディタ機能,高,5.1
REQ04,承認・保存機能,医師が内容を確認・修正後、承認操作を行うことで、完成したサマリーを正式な文書としてシステム内に保存し、電子カルテシステムに反映させる機能,高,5.1
REQ05,出力機能,完成した退院時サマリーを、指定されたフォーマットのPDFファイルとして出力、またはプリンターで印刷する機能,中,5.1
REQ06,患者選択画面,ヘッダー、患者検索エリア、患者一覧表示エリアで構成される画面。検索ボックス（患者ID、氏名）、患者一覧テーブル（患者ID、氏名、入院日、主治医）、サマリー作成開始ボタンを提供する,高,5.2
REQ07,サマリー編集画面,左側に入力元となる電子カルテ情報（カルテビューア）、右側に自動生成されたサマリーの編集エリアを配置する2ペイン構成の画面。カルテ情報表示エリア、リッチテキストエディタ、保存ボタン、承認ボタン、PDF出力ボタンを提供する,高,5.2
REQ08,パフォーマンス要件,患者を選択後、退院時サマリーのドラフトが30秒以内に生成・表示されること,高,6
REQ09,セキュリティ要件,厚生労働省の「医療情報システムの安全管理に関するガイドライン」に準拠する。通信の暗号化（SSL/TLS）、データベースの暗号化、厳格なアクセス権限管理を行う,高,6
REQ10,可用性要件,システムの稼働率は99.5%以上とし、計画メンテナンスを除き24時間365日利用可能であること,中,6
REQ11,スケーラビリティ要件,将来的な利用医師数やデータ量の増加に対応可能なアーキテクチャを採用する,中,6
REQ12,患者基本情報データ取得,電子カルテシステムから患者の氏名、患者ID、生年月日、性別、連絡先などの基本情報を取得できること,高,3
REQ13,入院情報データ取得,電子カルテシステムから入院日、退院日、入院診療科、主治医、病棟などの入院情報を取得できること,高,3
REQ14,病名情報データ取得,電子カルテシステムから主病名、副病名（ICD-10コードを含む）を取得できること,高,3
REQ15,検査結果データ取得,電子カルテシステムから主要な血液検査、画像検査（レントゲン、CT、MRI）の所見を取得できること,高,3
REQ16,治療経過データ取得,電子カルテシステムから入院中の投薬、処置、手術などの治療内容とその経過を取得できること,高,3
REQ17,看護記録データ取得,電子カルテシステムから看護師による特記事項を取得できること,中,3
REQ18,退院時処方データ取得,電子カルテシステムから退院時に処方された薬剤情報を取得できること,高,3
REQ19,退院後の療養指導データ取得,電子カルテシステムから食事、運動、今後の通院計画などの指導内容を取得できること,中,3
REQ20,技術的制約への準拠,既存の電子カルテシステムが提供する連携APIの仕様に準拠すること。院内の閉域ネットワーク環境で動作すること,高,7

